DH	INJV	Xt	Mt	XMt	NDH
-1.75578	1	0.0	0.1	3.44147	-25.08256
-45.19147	1	0.34246	0.09951	6.89978	-645.59244
-62.78348	1	0.68324	0.09902	10.37493	-896.9069
-70.80197	1	1.02234	0.09854	13.86692	-1011.4567
-66.68387	1	1.35975	0.09806	17.37574	-952.62675
-58.51739	1	1.69548	0.09758	20.9014	-835.96274
-53.17261	1	2.02953	0.0971	24.44389	-759.60876
-51.90852	1	2.36189	0.09662	28.00323	-741.5503
-52.31795	1	2.69257	0.09615	31.5794	-747.39929
-52.50816	1	3.02156	0.09568	35.1724	-750.11658
-52.18838	1	3.34887	0.09521	38.78225	-745.54835
-50.84639	1	3.6745	0.09475	42.40893	-726.37702
-48.264	1	3.99844	0.09428	46.05244	-689.48577
-46.07285	1	4.3207	0.09382	49.7128	-658.18361
-42.32304	1	4.64128	0.09336	53.38999	-604.6148
-34.6677	1	4.96017	0.0929	57.08402	-495.25285
-23.21907	1	5.27738	0.09245	60.79488	-331.70097
-11.90434	1	5.5929	0.092	64.52258	-170.06194
-3.88833	1	5.90674	0.09155	68.26712	-55.5475
0.84797	1	6.2189	0.0911	72.0285	12.11381
3.25079	1	6.52937	0.09065	75.80671	46.43989
4.2495	1	6.83816	0.09021	79.60176	60.7071
3.46347	1	7.14527	0.08976	83.41365	49.47812
1.45798	1	7.45069	0.08932	87.24237	20.82823
-1.75118	1	7.75443	0.08888	91.08793	-25.0169
-6.14968	1	8.05648	0.08845	94.95033	-87.85262
-12.65081	1	8.35685	0.08801	98.82957	-180.72593
-21.58639	1	8.65554	0.08758	102.72564	-308.37694
-31.44821	1	8.95255	0.08715	106.63855	-449.26021
-38.01618	1	9.24787	0.08672	110.56829	-543.08823
-37.25847	1	9.5415	0.0863	114.51488	-532.26389
-28.65006	1	9.83346	0.08587	118.4783	-409.28664
-17.38956	1	10.12373	0.08545	122.45855	-248.42225
-9.73867	1	10.41231	0.08503	126.45565	-139.12384
-5.86272	1	10.69921	0.08461	130.46958	-83.75316
-3.08719	1	10.98443	0.08419	134.50034	-44.10267
-1.77388	1	11.26796	0.08378	138.54795	-25.34117
-0.75473	1	11.54982	0.08336	142.61239	-10.7819
--		11.82998	0.08295	--	
