DH	INJV	Xt	Mt	XMt	NDH
-0.711	1	0.0	0.05	4.91639	-14.21991
-20.03832	1	0.24462	0.04976	9.85684	-400.76641
-31.68911	1	0.48803	0.04951	14.82133	-633.78211
-40.83088	1	0.73024	0.04927	19.80988	-816.61753
-39.68751	1	0.97125	0.04903	24.82248	-793.75014
-34.2939	1	1.21106	0.04879	29.85914	-685.87794
-29.75358	1	1.44966	0.04855	34.91985	-595.0716
-28.87355	1	1.68706	0.04831	40.00461	-577.47107
-28.37319	1	1.92326	0.04808	45.11342	-567.4638
-27.65142	1	2.15826	0.04784	50.24629	-553.02842
-26.99449	1	2.39205	0.04761	55.40321	-539.88988
-26.09451	1	2.62464	0.04737	60.58418	-521.89014
-25.90237	1	2.85603	0.04714	65.7892	-518.04731
-24.62774	1	3.08621	0.04691	71.01828	-492.55485
-21.22086	1	3.3152	0.04668	76.27141	-424.41715
-19.94697	1	3.54298	0.04645	81.5486	-398.93932
-13.86474	1	3.76955	0.04622	86.84983	-277.29477
-9.21922	1	3.99493	0.046	92.17512	-184.38434
-3.19989	1	4.2191	0.04577	97.52446	-63.9978
2.51742	1	4.44207	0.04555	102.89786	50.34833
2.62328	1	4.66384	0.04532	108.2953	52.46562
2.64101	1	4.8844	0.0451	113.7168	52.82025
1.73866	1	5.10376	0.04488	119.16236	34.77322
-1.16427	1	5.32192	0.04466	124.63196	-23.2854
-5.52851	1	5.53888	0.04444	130.12562	-110.5702
-10.6974	1	5.75463	0.04422	135.64333	-213.94796
-16.58545	1	5.96918	0.04401	141.1851	-331.70903
-20.14	1	6.18253	0.04379	146.75091	-402.79993
-21.69295	1	6.39468	0.04358	152.34078	-433.85907
-17.90863	1	6.60562	0.04336	157.9547	-358.17259
-12.57311	1	6.81536	0.04315	163.59268	-251.46228
-6.92761	1	7.0239	0.04294	169.25471	-138.5523
-4.52933	1	7.23123	0.04272	174.94079	-90.58658
-2.38811	1	7.43736	0.04251	180.65092	-47.76214
-1.22428	1	7.64229	0.0423	186.38511	-24.48564
-0.02945	1	7.84602	0.0421	192.14335	-0.58896
2.43652	1	8.04855	0.04189	197.92564	48.73049
0.82102	1	8.24987	0.04168	203.73198	16.42048
--		8.44999	0.04148	--	
