DH	INJV	Xt	Mt	XMt	NDH
2.22983	1	0.0	0.075	0.39331	37.16387
-35.1892	1	0.29354	0.074633	0.78855	-586.48659
-51.22526	1	0.58564	0.074268	1.18571	-853.75435
-63.62983	1	0.87629	0.073905	1.58479	-1060.49723
-57.84421	1	1.1655	0.073543	1.9858	-964.07016
-50.93288	1	1.45327	0.073183	2.38873	-848.88127
-46.20433	1	1.73959	0.072825	2.79359	-770.07218
-43.63899	1	2.02448	0.072469	3.20037	-727.31645
-44.2184	1	2.30791	0.072114	3.60907	-736.97332
-43.98651	1	2.58991	0.071761	4.0197	-733.10844
-43.58669	1	2.87046	0.07141	4.43226	-726.44479
-42.53999	1	3.14957	0.07106	4.84673	-708.99986
-40.51739	1	3.42723	0.070712	5.26314	-675.28989
-39.24996	1	3.70346	0.070366	5.68146	-654.16604
-35.87678	1	3.97824	0.070021	6.10171	-597.94625
-31.15791	1	4.25157	0.069678	6.52389	-519.29844
-22.7425	1	4.52346	0.069337	6.94799	-379.04161
-13.35221	1	4.79391	0.068997	7.37401	-222.53684
-6.46732	1	5.06292	0.068659	7.80196	-107.7887
-1.86892	1	5.33048	0.068322	8.23183	-31.1486
1.84069	1	5.5966	0.067987	8.66362	30.67812
3.136	1	5.86128	0.067654	9.09734	52.26671
3.06277	1	6.12452	0.067322	9.53299	51.04624
1.05098	1	6.38631	0.066992	9.97056	17.51628
-1.21856	1	6.64665	0.066663	10.41005	-20.30927
-4.59146	1	6.90556	0.066335	10.85147	-76.52428
-9.83017	1	7.16302	0.06601	11.29481	-163.83622
-17.25596	1	7.41904	0.065685	11.74007	-287.5994
-25.62513	1	7.67361	0.065363	12.18726	-427.08551
-31.6218	1	7.92674	0.065041	12.63638	-527.02993
-32.63151	1	8.17843	0.064721	13.08741	-543.85858
-26.45729	1	8.42868	0.064403	13.54038	-440.95486
-16.86068	1	8.67748	0.064086	13.99526	-281.01128
-8.5489	1	8.92484	0.06377	14.45207	-142.48169
-4.69614	1	9.17075	0.063456	14.91081	-78.26898
-2.84829	1	9.41523	0.063144	15.37147	-47.47147
-1.84785	1	9.65826	0.062832	15.83405	-30.79753
-0.85062	1	9.89984	0.062522	16.29856	-14.17703
--		10.13998	0.062214	--	
